bird name,total missed,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08
Belted Kingfisher,687,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,2,2,0,0,0,2,1,0,0,1,2,0,0,1,2,0,1,0,3,2,0,0,2,1,0,1,0,4,0,1,1,0,1,1,2,0,0,1,1,3,1,1,1,1,0,2,1,2,1,3,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,1
Laysan Albatross,678,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,3,2,1,0,5,0,2,2,1,1,0,0,0,0,0,1,0,1,1,1,3,0,0,0,2,2,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,2,0,2,0,0,1,0,1,0,0,1
Black Bellied Whistling Duck,669,0,0,0,1,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,1,0,1,10,1,2,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,1,0,0,2,0,0,1,0,1,1,3,6,0,1,2,2,3,1,0,0,1,0,0,0,2,0,3,0,2,0,1,0,0,0,1,0,1,1,0,2,0,1,0,1,0,0,1,1,1,1,1,0,2,1,9,0,2,1,0,0
Pied Billed Grebe,655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,1,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,1,1,0,0,0,1,1,1,1,0,1,0,21,0,0,2,0,1
Red Crossbill,654,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,1,0,0,3,1,0,0,0,0,0,2,0,4,1,2,0,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,0,2,1,1,2,0,0,0
Sora,643,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,3,1,1,1,0,4,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
Scissor Tailed Flycatcher,642,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,3,1,0,0,0,1,0,0,0,3,0,0,1,0,1,1,0,0,1,0,0,2,1,1,1,3,2,1,7,0,0,0,1,2,1,0,0,0,0,2,0,3,0,2,0,0,1,1,0,0,0,0,2,0,0,1,4,4,1,0,1,1,1,0,0,0,4,0,0,2,0,1,0,0,0
Black And White Warbler,642,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,2,0,1,1,2,3,0,1,3,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,1,2,1,0,0,2,1,0,0,1,1,2,0,0,1
American Dipper,635,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,2,0,1,1,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,7,0,0,0,1,0,1,0,0
Common Murre,633,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,2,2,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,3,0,2,1,0,3,1,3,0,2,0,0,1,1,0,3,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,3,3,0,1,2,1,1,2,0,0,0,0,1
European Starling,632,0,0,0,1,0,1,0,1,0,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,7,1,0,0,0,0,0,1,3,0,1,0,0,3,3,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,3,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1
Green Heron,626,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,3,0,1,3,2,4,0,1,1,0,0,0,0,0,1,0,4,1,0,0,4,5,2,1,0,2,0,2,5,0,1,0,2,2,0,0,1,0,0,0,0,1,0,1,0,0,2,1,3,0,1,0,0,0,0,0,1,0,2,1,3,0,1,0,1,0,3,0,1,0,0,0,1,1,1,0,1
Evening Grosbeak,618,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,3,1,1,0,1,2,3,2,7,3,0,1,3,0,3,1,2,1,0,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,2,0,1,0,1,0,1,0,1,1,0,1,2,0,3,1,0,2
Downy Woodpecker,618,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,4,5,0,1,0,11,0,0,0,1,1,1,2,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,0,0,1,2,2,0,0,0,0,2
Canvasback,618,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,6,3,4,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,2,0,1,0,0,0,0,1
American White Pelican,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,3,2,1,1,3,2,0,0,0,0,0,0,0,0,2,0,0,6,0,0,2,0,5,4,0,3,2,1,2,2,4,0,0,1,3,0,0,3,1,0,0,0,1,3,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,2,0,0,0,1,0,0,0,2
Killdeer,599,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2,0,0,2,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,2,5,0,1,0,0,0,5,1,0,1,0,0,1,0,0,0,2,1,1,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0
Canada Goose,592,0,4,1,0,0,1,2,0,0,0,0,0,1,1,2,1,9,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,4,3,1,1,2,4,0,0,2,2,1,1,0,0,0,10,0,1,1,0,1,1,0,1,1,0,1,1,1,4,0,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,3,0,0,0,0,2,1
American Oystercatcher,591,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,1,1,3,1,0,1,0,1,2,0,0,1,0,0,4,0,0,3,2,0,1,2,0,0,0,0,0,0,2,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,2,0,0,1
Black Necked Stilt,584,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,2,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,2,1,1,0,2,0,1,7,0,0,6,0,0,3,1,1,0,1,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0
Snow Goose,582,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,1,1,0,2,1,1,1,2,1,0,1,0,0,0,0,0,1,3,7,8,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,1
American Kestrel,570,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,0,3,1,0,0,5,1,0,4,0,0,0,0,0,1,0,8,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,3,0,0,1,0,1,0,1,0,0,1
Anhinga,564,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,0,1,2,2,1,0,1,1,0,2,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,1
Chimney Swift,562,3,2,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,4,1,0,1,0,0,0,0,0,2,0,1,1,1,1,0,2,1,1,0,0,0,0,0,0,1,8,1,1,0,0,3,1,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,2,2,0,0,0,5,0,0,4
Wood Stork,558,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,2,1,1,1,5,2,1,1,3,3,0,0,1,3,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,3,0,1,2,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,2
Wood Duck,552,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,6,3,1,1,3,2,0,5,1,0,0,0,1
Hooded Merganser,550,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,1,2,0,2,0,2,3,0,3,0,0,0,0,4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,3,7,2,1,0,1,1,0,1,11,5,0,4,0,7,0,3,1,2,1
American Avocet,546,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,3,0,1,0,3,0,1,0,2,0,0,0,2,0,0,1,1,2,0,0,0,1,0,0,0,1,0,2,1,1,2,1,0,0,1,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0
Wild Turkey,534,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,3,0,0,1,1,0,1,0,0,0,0,0,1,6,1,0,0,0,1,0,1,0,0,3,0,0,8,0,0,2,2,0,0,0,0,1,0,0,0,2,2,1,3,0,1,0,0,0,2,2,0,0,0,0,0,0,3,0,4,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,2,0,0,1,1,0,0,2,0,4,0,5,2
Red Headed Woodpecker,530,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,3,0,0,0,0,4,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,1,2,0,0,1,1,3,0,1,1,0,0,0,1,1,0,1,0
Blue Jay,524,0,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,4,1,2,0,2,0,0,0,0,0,2,4,0,0,0,0,4,2,2,2,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0
Purple Gallinule,513,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,2,3,0,0,2,4,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,1,0,1,1,1,0,3,0,2,1,0,0,0,0,0,1,0,2,0,1,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,3,0,3,2,0,1,2,0,2,0,1,1,0,0,0
Rock Pigeon,509,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,0,3,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,1,1
Black Billed Magpie,502,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,5,2,0,0,2,3,0,1,0,0,0,1,1,5,0,3,0,1,0,2,0,0,1,0,0,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,2
Osprey,488,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,4,1,1,1,2,0,0,2,0,0,0,0,0
Loggerhead Shrike,486,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,1,0,1,0,1,0,1,1,1,1,2,4,2,1,2,0,1,0,2,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,2
Crested Caracara,446,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,1,0,0,1,0,2,1,5,0,10,1,1,4,2,0,0,0,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,2,2,0,0,0,0,1
Brown Creeper,442,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,0,2,0,1,1,1,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,2,0,2,2,1,1,1,0,0,0,3,1
Greater Roadrunner,412,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,1,1,0,1,1,1,0,2,1,3,0,0,0,0,1,0,2,5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,1,1,0,1,0,0,1
Steller's Jay,406,0,0,0,0,0,0,1,2,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,4,2,0,0,0,0,0,0,4,0,1,0,3,0,2,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,2,2,0,0,3,1,0,1
Pileated Woodpecker,371,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,1,0,0,3,1,2,1,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1
Snowy Egret,357,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,1,2,0,0,1
Roseate Spoonbill,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,3,2,0,0,1,2,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0
Cedar Waxwing,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0
Barn Owl,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0
Tufted Puffin,265,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,1,1,0,2,0,1,1,1,0,1,1,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Common Pauraque,206,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Snowy Owl,192,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1,2,0,0,0,1,1,2,2,1,1,1,0,0,0,1,0,0,0
Bell's Vireo,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Heermann's Gull,124,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
California Gnatcatcher,119,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Western Kingbird,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0
Purple Finch,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swainson's Thrush,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Phoebe,93,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Phainopepla,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Townsend's Warbler,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Bellied Woodpecker,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
